3.125000000000000000e+07,3.125000000000000000e+07,3.125000000000000000e+07,6.250000000000000000e+07,7.812500000000000000e+07,7.812500000000000000e+07,1.093750000000000000e+08,1.093750000000000000e+08,1.406250000000000000e+08,2.031250000000000000e+08,1.718750000000000000e+08,1.875000000000000000e+08,4.531250000000000000e+08,4.531250000000000000e+08,2.968750000000000000e+08,7.187500000000000000e+08,5.625000000000000000e+08,5.937500000000000000e+08,1.062500000000000000e+09,8.593750000000000000e+08,8.437500000000000000e+08,1.281250000000000000e+09,1.281250000000000000e+09,1.375000000000000000e+09,2.281250000000000000e+09,2.265625000000000000e+09,2.156250000000000000e+09,3.031250000000000000e+09,3.015625000000000000e+09,3.031250000000000000e+09
3.125000000000000000e+07,3.125000000000000000e+07,3.125000000000000000e+07,6.250000000000000000e+07,7.812500000000000000e+07,1.406250000000000000e+08,1.250000000000000000e+08,1.250000000000000000e+08,1.093750000000000000e+08,1.718750000000000000e+08,1.875000000000000000e+08,2.812500000000000000e+08,3.750000000000000000e+08,3.125000000000000000e+08,3.593750000000000000e+08,6.718750000000000000e+08,6.093750000000000000e+08,6.093750000000000000e+08,9.531250000000000000e+08,1.031250000000000000e+09,8.281250000000000000e+08,1.140625000000000000e+09,1.562500000000000000e+09,1.328125000000000000e+09,1.984375000000000000e+09,2.312500000000000000e+09,2.203125000000000000e+09,3.156250000000000000e+09,3.390625000000000000e+09,3.609375000000000000e+09
3.125000000000000000e+07,3.125000000000000000e+07,1.562500000000000000e+07,6.250000000000000000e+07,4.687500000000000000e+07,6.250000000000000000e+07,1.250000000000000000e+08,1.406250000000000000e+08,1.875000000000000000e+08,2.343750000000000000e+08,1.875000000000000000e+08,2.187500000000000000e+08,3.125000000000000000e+08,4.218750000000000000e+08,4.218750000000000000e+08,6.718750000000000000e+08,5.468750000000000000e+08,6.250000000000000000e+08,9.062500000000000000e+08,9.531250000000000000e+08,9.843750000000000000e+08,1.093750000000000000e+09,1.203125000000000000e+09,1.390625000000000000e+09,2.187500000000000000e+09,2.140625000000000000e+09,2.171875000000000000e+09,3.015625000000000000e+09,3.265625000000000000e+09,3.593750000000000000e+09
3.125000000000000000e+07,4.687500000000000000e+07,3.125000000000000000e+07,4.687500000000000000e+07,7.812500000000000000e+07,6.250000000000000000e+07,1.093750000000000000e+08,1.093750000000000000e+08,1.562500000000000000e+08,2.187500000000000000e+08,1.562500000000000000e+08,2.343750000000000000e+08,4.062500000000000000e+08,3.437500000000000000e+08,3.750000000000000000e+08,5.937500000000000000e+08,6.562500000000000000e+08,5.937500000000000000e+08,1.046875000000000000e+09,8.750000000000000000e+08,1.000000000000000000e+09,1.281250000000000000e+09,1.093750000000000000e+09,1.250000000000000000e+09,2.234375000000000000e+09,2.171875000000000000e+09,2.218750000000000000e+09,3.015625000000000000e+09,3.437500000000000000e+09,3.093750000000000000e+09
1.562500000000000000e+07,1.562500000000000000e+07,4.687500000000000000e+07,4.687500000000000000e+07,6.250000000000000000e+07,6.250000000000000000e+07,1.406250000000000000e+08,1.250000000000000000e+08,1.250000000000000000e+08,2.031250000000000000e+08,2.500000000000000000e+08,2.812500000000000000e+08,4.218750000000000000e+08,3.437500000000000000e+08,4.062500000000000000e+08,7.343750000000000000e+08,5.468750000000000000e+08,5.625000000000000000e+08,1.109375000000000000e+09,8.906250000000000000e+08,8.906250000000000000e+08,1.250000000000000000e+09,1.359375000000000000e+09,1.265625000000000000e+09,2.125000000000000000e+09,2.187500000000000000e+09,2.125000000000000000e+09,3.375000000000000000e+09,3.312500000000000000e+09,3.296875000000000000e+09
1.562500000000000000e+07,3.125000000000000000e+07,3.125000000000000000e+07,4.687500000000000000e+07,7.812500000000000000e+07,6.250000000000000000e+07,1.406250000000000000e+08,1.406250000000000000e+08,1.406250000000000000e+08,2.187500000000000000e+08,2.500000000000000000e+08,1.718750000000000000e+08,3.281250000000000000e+08,4.062500000000000000e+08,4.687500000000000000e+08,5.937500000000000000e+08,6.406250000000000000e+08,5.625000000000000000e+08,1.078125000000000000e+09,1.109375000000000000e+09,1.015625000000000000e+09,1.250000000000000000e+09,1.437500000000000000e+09,1.359375000000000000e+09,2.265625000000000000e+09,2.218750000000000000e+09,2.203125000000000000e+09,3.375000000000000000e+09,3.156250000000000000e+09,3.015625000000000000e+09
1.562500000000000000e+07,1.562500000000000000e+07,1.562500000000000000e+07,6.250000000000000000e+07,7.812500000000000000e+07,7.812500000000000000e+07,1.250000000000000000e+08,1.250000000000000000e+08,1.406250000000000000e+08,2.187500000000000000e+08,1.718750000000000000e+08,2.500000000000000000e+08,4.375000000000000000e+08,4.531250000000000000e+08,4.531250000000000000e+08,6.406250000000000000e+08,5.625000000000000000e+08,7.187500000000000000e+08,8.593750000000000000e+08,9.687500000000000000e+08,1.234375000000000000e+09,1.312500000000000000e+09,1.328125000000000000e+09,1.296875000000000000e+09,2.265625000000000000e+09,2.421875000000000000e+09,2.187500000000000000e+09,3.687500000000000000e+09,2.968750000000000000e+09,3.359375000000000000e+09
1.562500000000000000e+07,4.687500000000000000e+07,1.562500000000000000e+07,7.812500000000000000e+07,4.687500000000000000e+07,4.687500000000000000e+07,1.562500000000000000e+08,1.562500000000000000e+08,1.406250000000000000e+08,2.343750000000000000e+08,1.875000000000000000e+08,2.812500000000000000e+08,3.750000000000000000e+08,3.281250000000000000e+08,5.000000000000000000e+08,7.187500000000000000e+08,7.031250000000000000e+08,6.875000000000000000e+08,9.843750000000000000e+08,7.968750000000000000e+08,9.531250000000000000e+08,1.296875000000000000e+09,1.406250000000000000e+09,1.328125000000000000e+09,2.515625000000000000e+09,2.312500000000000000e+09,2.187500000000000000e+09,3.312500000000000000e+09,3.328125000000000000e+09,3.390625000000000000e+09
1.562500000000000000e+07,1.562500000000000000e+07,3.125000000000000000e+07,9.375000000000000000e+07,7.812500000000000000e+07,9.375000000000000000e+07,1.250000000000000000e+08,1.250000000000000000e+08,1.718750000000000000e+08,1.875000000000000000e+08,2.187500000000000000e+08,1.875000000000000000e+08,3.906250000000000000e+08,4.687500000000000000e+08,4.218750000000000000e+08,6.718750000000000000e+08,6.718750000000000000e+08,5.781250000000000000e+08,9.843750000000000000e+08,8.906250000000000000e+08,1.140625000000000000e+09,1.265625000000000000e+09,1.171875000000000000e+09,1.359375000000000000e+09,2.390625000000000000e+09,2.312500000000000000e+09,2.156250000000000000e+09,3.359375000000000000e+09,3.328125000000000000e+09,3.000000000000000000e+09
4.687500000000000000e+07,3.125000000000000000e+07,3.125000000000000000e+07,9.375000000000000000e+07,3.125000000000000000e+07,6.250000000000000000e+07,1.562500000000000000e+08,1.562500000000000000e+08,9.375000000000000000e+07,2.187500000000000000e+08,1.250000000000000000e+08,1.562500000000000000e+08,3.750000000000000000e+08,4.062500000000000000e+08,4.375000000000000000e+08,6.875000000000000000e+08,4.531250000000000000e+08,7.031250000000000000e+08,9.218750000000000000e+08,9.531250000000000000e+08,9.375000000000000000e+08,1.203125000000000000e+09,1.312500000000000000e+09,1.390625000000000000e+09,2.062500000000000000e+09,2.015625000000000000e+09,2.296875000000000000e+09,3.578125000000000000e+09,3.218750000000000000e+09,3.171875000000000000e+09
